BetaShares Portfolio Holdings,,,,,,,,,,
,,,,,,,,,,
Fund Name,BetaShares Australia 200 ETF,,,,,,,,,
Fund ASX Code,A200,,,,,,,,,
Date,2023-02-17,,,,,,,,,
,,,,,,,,,,
Ticker,SEDOL,Name,Asset Class,Sector,Country,Currency,Weight (%),Shares/Units (#),Market Value (AUD),Notional Value (AUD)
JLG AT,BYPHBX3,JOHNS LYNG GROUP LTD,Equities,Industrials,Australia,AUD,0.000479,226242,1287316.98,1287316.98
ING AT,BZCNHW2,INGHAMS GROUP LTD,Equities,Consumer Staples,Australia,AUD,0.000471,462369,1266891.06,1266891.06
SLR AT,B28RMY4,SILVER LAKE RESOURCES LTD,Equities,Materials,Australia,AUD,0.000462,1143473,1240668.205,1240668.205
CMW AT,6225476,CROMWELL PROPERTY GROUP,Equities,Real Estate,Australia,AUD,0.000452,1687374,1214909.28,1214909.28
CKF AT,B6QCFP1,COLLINS FOODS LTD,Equities,Consumer Discretionary,Australia,AUD,0.000446,135178,1199028.86,1199028.86
BGA AT,B56CQJ5,BEGA CHEESE LTD,Equities,Consumer Staples,Australia,AUD,0.000434,330718,1167434.54,1167434.54
MP1 AT,BZ5ZWZ3,MEGAPORT LTD,Equities,Information Technology,Australia,AUD,0.00043,183999,1155513.72,1155513.72
PTM AT,B1XK7G8,PLATINUM ASSET MANAGEMENT LTD,Equities,Financials,Australia,AUD,0.000422,509275,1135683.25,1135683.25
GOZ AT,B1Y9BC8,GROWTHPOINT PROPERTIES AUSTRAL,Equities,Real Estate,Australia,AUD,0.000421,343225,1132642.5,1132642.5
HLI AT,BP5HL07,HELIA GROUP LTD,Equities,Financials,Australia,AUD,0.000399,417496,1072964.72,1072964.72
WAF AT,B4KBBN0,WEST AFRICAN RESOURCES LTD,Equities,Materials,Australia,AUD,0.000383,1138848,1030657.44,1030657.44
UMG AT,BLHVB76,UNITED MALT GRP LTD,Equities,Consumer Staples,Australia,AUD,0.000382,278792,1025954.56,1025954.56
BRN AT,BYMJYD3,BRAINCHIP HOLDINGS LTD,Equities,Information Technology,Australia,AUD,0.00036,1776154,968003.93,968003.93
LKE AT,6397267,LAKE RESOURCES NL,Equities,Materials,Australia,AUD,0.000358,1517542,963639.17,963639.17
DHG AT,BF17Y13,DOMAIN HOLDINGS AUSTRALIA LTD,Equities,Communication Services,Australia,AUD,0.000356,311683,956866.81,956866.81
HMC AT,BJRBL61,HOME CONSORTIUM LTD,Equities,Real Estate,Australia,AUD,0.000354,207578,950707.24,950707.24
IMU AT,6931115,IMUGENE LTD,Equities,Healthcare,Australia,AUD,0.000352,6749186,944886.04,944886.04
